rank,place,state,population,latitude,longitude,name,desc,color,source,precision
1,New York,New York,"8,175,133",40.7820015,-73.8327026,New York,"New York, NY",,Bing Maps,city/town
2,Los Angeles,California,"3,792,621",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
3,Chicago,Illinois,"2,695,598",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
4,Houston,Texas,"2,099,451",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
5,Philadelphia,Pennsylvania,"1,526,006",40.8965111,-77.8387527,Pennsylvania,Pennsylvania,,Bing Maps,state/province
6,Phoenix,Arizona,"1,445,632",34.2930069,-111.6639786,Arizona,Arizona,,Bing Maps,state/province
7,San Antonio,Texas,"1,327,407",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
8,San Diego,California,"1,307,402",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
9,Dallas,Texas,"1,197,816",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
10,San Jose,California,"945,942",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
11,Jacksonville,Florida,"821,784",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
12,Indianapolis,Indiana,"820,445",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
13,Austin,Texas,"790,390",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
14,San Francisco,California,"805,235",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
15,Columbus,Ohio,"787,033",40.410656,-82.7089386,Ohio,Ohio,,Bing Maps,state/province
16,Fort Worth,Texas,"741,206",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
17,Charlotte,North Carolina,"731,424",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
18,Detroit,Michigan,"713,777",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
19,El Paso,Texas,"649,121",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
20,Memphis,Tennessee,"646,889",35.8430023,-86.3430481,Tennessee,Tennessee,,Bing Maps,state/province
21,Boston,Massachusetts,"617,594",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
22,Seattle,Washington,"608,660",38.8903694,-77.0319595,Washington,"Washington, DC",,Bing Maps,city/town
23,Denver,Colorado,"600,158",39.0010986,-105.55159,Colorado,Colorado,,Bing Maps,state/province
24,Baltimore,Maryland,"620,961",38.9455986,-76.6833878,Maryland,Maryland,,Bing Maps,state/province
25,Washington,District of Columbia,"601,723",38.8903694,-77.0319595,District of Columbia,"Washington, DC",,Bing Maps,city/town
26,Nashville-Davidson metropolitan government,Tennessee,"601,222",35.8430023,-86.3430481,Tennessee,Tennessee,,Bing Maps,state/province
27,Louisville/Jefferson County metro government,Kentucky,"597,337",37.5272331,-85.2876205,Kentucky,Kentucky,,Bing Maps,state/province
28,Milwaukee,Wisconsin,"594,833",44.6354256,-89.7189026,Wisconsin,Wisconsin,,Bing Maps,state/province
29,Portland,Oregon,"583,776",43.9452972,-120.5995255,Oregon,Oregon,,Bing Maps,state/province
30,Oklahoma City,Oklahoma,"579,999",35.5853882,-97.5121384,Oklahoma,Oklahoma,,Bing Maps,state/province
31,Las Vegas,Nevada,"583,756",39.358387,-116.6546555,Nevada,Nevada,,Bing Maps,state/province
32,Albuquerque,New Mexico,"545,852",34.4216003,-106.110939,New Mexico,New Mexico,,Bing Maps,state/province
33,Tucson,Arizona,"520,116",34.2930069,-111.6639786,Arizona,Arizona,,Bing Maps,state/province
34,Fresno,California,"494,665",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
35,Sacramento,California,"466,488",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
36,Long Beach,California,"462,257",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
37,Kansas City,Missouri,"459,787",38.3679657,-92.4778824,Missouri,Missouri,,Bing Maps,state/province
38,Mesa,Arizona,"439,041",34.2930069,-111.6639786,Arizona,Arizona,,Bing Maps,state/province
39,Virginia Beach,Virginia,"437,994",37.5088043,-78.6515427,Virginia,Virginia,,Bing Maps,state/province
40,Atlanta,Georgia,"420,003",32.637619,-83.4289627,Georgia,Georgia,,Bing Maps,state/province
41,Colorado Springs,Colorado,"416,427",39.0010986,-105.55159,Colorado,Colorado,,Bing Maps,state/province
42,Raleigh,North Carolina,"403,892",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
43,Omaha,Nebraska,"408,958",41.5272713,-99.8111038,Nebraska,Nebraska,,Bing Maps,state/province
44,Miami,Florida,"399,457",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
45,Tulsa,Oklahoma,"391,906",35.5853882,-97.5121384,Oklahoma,Oklahoma,,Bing Maps,state/province
46,Oakland,California,"390,724",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
47,Cleveland,Ohio,"396,815",40.410656,-82.7089386,Ohio,Ohio,,Bing Maps,state/province
48,Minneapolis,Minnesota,"382,578",46.3505173,-94.1978073,Minnesota,Minnesota,,Bing Maps,state/province
49,Wichita,Kansas,"382,368",38.484726,-98.3801727,Kansas,Kansas,,Bing Maps,state/province
50,Arlington,Texas,"365,438",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
51,New Orleans,Louisiana,"343,829",30.9075546,-91.8198318,Louisiana,Louisiana,,Bing Maps,state/province
52,Bakersfield,California,"347,483",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
53,Tampa,Florida,"335,709",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
54,Anaheim,California,"336,265",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
55,Urban Honolulu CDP,Hawaii,"337,256",20.7492104,-157.1586761,Hawaii,Hawaii,,Bing Maps,state/province
56,Aurora,Colorado,"325,078",39.0010986,-105.55159,Colorado,Colorado,,Bing Maps,state/province
57,Santa Ana,California,"324,528",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
58,St. Louis,Missouri,"319,294",38.3679657,-92.4778824,Missouri,Missouri,,Bing Maps,state/province
59,Riverside,California,"303,871",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
60,Corpus Christi,Texas,"305,215",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
61,Pittsburgh,Pennsylvania,"305,704",40.8965111,-77.8387527,Pennsylvania,Pennsylvania,,Bing Maps,state/province
62,Lexington-Fayette urban county,Kentucky,"295,803",37.5272331,-85.2876205,Kentucky,Kentucky,,Bing Maps,state/province
63,Stockton,California,"291,707",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
64,Cincinnati,Ohio,"296,943",40.410656,-82.7089386,Ohio,Ohio,,Bing Maps,state/province
65,Anchorage municipality,Alaska,"291,826",63.1236229,-154.3052063,Alaska,Alaska,,Bing Maps,state/province
66,St. Paul,Minnesota,"285,068",46.3505173,-94.1978073,Minnesota,Minnesota,,Bing Maps,state/province
67,Toledo,Ohio,"287,208",40.410656,-82.7089386,Ohio,Ohio,,Bing Maps,state/province
68,Newark,New Jersey,"277,140",40.0851631,-74.649498,New Jersey,New Jersey,,Bing Maps,state/province
69,Greensboro,North Carolina,"269,666",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
70,Plano,Texas,"259,841",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
71,Lincoln,Nebraska,"258,379",41.5272713,-99.8111038,Nebraska,Nebraska,,Bing Maps,state/province
72,Buffalo,New York,"261,310",40.7820015,-73.8327026,New York,"New York, NY",,Bing Maps,city/town
73,Henderson,Nevada,"257,729",39.358387,-116.6546555,Nevada,Nevada,,Bing Maps,state/province
74,Fort Wayne,Indiana,"253,691",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
75,Jersey City,New Jersey,"247,597",40.0851631,-74.649498,New Jersey,New Jersey,,Bing Maps,state/province
76,Chula Vista,California,"243,916",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
77,St. Petersburg,Florida,"244,769",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
78,Orlando,Florida,"238,300",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
79,Norfolk,Virginia,"242,803",37.5088043,-78.6515427,Virginia,Virginia,,Bing Maps,state/province
80,Laredo,Texas,"236,091",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
81,Chandler,Arizona,"236,123",34.2930069,-111.6639786,Arizona,Arizona,,Bing Maps,state/province
82,Madison,Wisconsin,"233,209",44.6354256,-89.7189026,Wisconsin,Wisconsin,,Bing Maps,state/province
83,Lubbock,Texas,"229,573",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
84,Durham,North Carolina,"228,330",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
85,Winston-Salem,North Carolina,"229,617",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
86,Garland,Texas,"226,876",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
87,Glendale,Arizona,"226,721",34.2930069,-111.6639786,Arizona,Arizona,,Bing Maps,state/province
88,Baton Rouge,Louisiana,"229,493",30.9075546,-91.8198318,Louisiana,Louisiana,,Bing Maps,state/province
