id,zip,member_type,city,state,grad_year,age,maj_prac_focus,college_code,purpose,category,full_state
66719,34004-9997,DO-M,Dpo,AA,1996,44,Family Medicine,118457,Home,0,#N/A
44696,T2M 1G9,DO-M,Calgary,AB,1985,55,Family Medicine,118461,Business,8,#N/A
151138,T1J 1W2,DO-M,Lethbridge,AB,2006,37,Sports Medicine,118468,Business,8,#N/A
61103,09012-0049,DO-M,APO,AE,1994,53,Preventive Med-Aerospace Med,118446,Home,4,#N/A
84122,09012-0078,DO-M,APO,AE,2002,43,Preventive Med-Aerospace Med,118442,Home,0,#N/A
34422,09123-0016,DO-M,APO,AE,1976,68,Preventive Med-Aerospace Med,118447,Business,0,#N/A
72839,09012-0157,DO-M,APO,AE,1999,41,Aerospace Medicine,118447,Home,4,#N/A
161920,09636-0009,DO-M,FPO,AE,2008,31,Aerospace Medicine,155767,Home,0,#N/A
140051,09464-0064,DO-M,APO,AE,2004,43,Emergency Medicine,118462,Home,4,#N/A
69328,09250-0024,DO-M,APO,AE,1997,45,Family Medicine,118463,Business,8,#N/A
61484,9898,DO-M,Apo,AE,1994,59,Family Medicine,118453,Home,4,#N/A
85272,09180-0026,DO-M,APO,AE,2002,47,Family Medicine,118462,Home,0,#N/A
132946,09012-0028,DO-M,APO,AE,2004,42,Family Medicine,118468,Home,0,#N/A
68917,09589-9997,DO-M,FPO,AE,1998,49,Family Medicine,118458,Home,3,#N/A
170568,09114-0051,DO-M,APO,AE,2010,31,Family Medicine,118465,Home,1,#N/A
158778,09139-0018,DO-M,APO,AE,2008,,Family Medicine,118460,Home,0,#N/A
143405,09114-0041,DO-M,APO,AE,2005,48,Family Medicine,118447,Home,4,#N/A
144575,09564-1736,DO-M,FPO,AE,2007,41,Family Medicine,118462,Business,4,#N/A
75558,09096-0016,DO-M,APO,AE,2000,51,Family Medicine,118457,Home,4,#N/A
139699,09464-0032,DO-M,APO,AE,2004,49,Forensic Psychiatry,118445,Home,0,#N/A
159595,09226-0022,DO-M,APO,AE,2009,37,Internal Medicine,118453,Home,3,#N/A
168964,09464-0027,DO-M,APO,AE,2009,,Internal Medicine,118468,Home,3,#N/A
165733,9355,DO-M,APO,AE,2009,37,Internal Medicine,118465,Home,3,#N/A
70627,09617-9998,DO-M,APO,AE,1998,43,Occupational Medicine,118447,Business,4,#N/A
158571,09112-0054,DO-M,APO,AE,2008,,Preventive-Occupation-Envir Me,118459,Home,3,#N/A
150248,09180-0011,DO-M,APO,AE,2006,38,Orthopedic Surgery,118469,Home,0,#N/A
167661,09075-0002,DO-M,APO,AE,2009,31,Other Specialty,118453,Home,3,#N/A
37689,09112-0013,DO-M,APO,AE,1980,62,Psychiatry,118446,Business,0,#N/A
48130,09180-0001,DO-M,APO,AE,1987,54,Pediatrics,118447,Business,0,#N/A
75391,09180-0001,DO-M,APO,AE,2000,40,Plastic & Reconstructive Surg,118453,Business,0,#N/A
179657,09720-0014,DO-M,APO,AE,2011,28,Surgery-General,118445,Home,1,#N/A
36415,99687-0004,DO-M,Wasilla,AK,1978,61,Adolescent Medicine,118460,Home,0,Alaska
54972,99707-4271,DO-M,Fairbanks,AK,1990,61,Anesthesiology,118458,Home,4,Alaska
55294,99654-7191,DO-M,Wasilla,AK,1990,67,Dermatology,118463,Home,0,Alaska
45402,99502-1442,DO-M,Anchorage,AK,1988,58,Diagnostic Radiology,118442,Home,0,Alaska
43055,99507-1291,DO-M,Anchorage,AK,1984,61,Diagnostic Radiology,118459,Home,4,Alaska
136981,99669-2319,DO-M,Soldotna,AK,2003,47,Emergency Medicine,118446,Business,0,Alaska
