Team,Year,G,MP,FG,FGA,FGp,2P,2PA,2Pp,3P,3PA,3Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSg
air-force,2012,29,5850,616,1383,0.445,424,814,0.521,192,569,0.337,362,537,0.674,178,657,835,403,194,90,371,491,1786,61.6
akron,2012,34,6850,868,1879,0.462,661,1319,0.501,207,560,0.37,513,741,0.692,398,815,1213,475,247,141,480,616,2456,72.2
alabama-am,2012,28,5650,629,1538,0.409,482,1069,0.451,147,469,0.313,359,555,0.647,316,650,966,314,178,119,462,617,1764,63
alabama,2012,33,6649,778,1722,0.452,642,1252,0.513,136,470,0.289,443,623,0.711,352,806,1158,402,239,137,423,607,2135,64.7
alabama-state,2012,31,6326,648,1714,0.378,458,1093,0.419,190,621,0.306,354,606,0.584,399,702,1101,357,236,95,470,614,1840,59.4
alabama-birmingham,2012,31,6225,654,1559,0.419,475,1039,0.457,179,520,0.344,388,566,0.686,350,734,1084,352,136,110,439,494,1875,60.5
albany-ny,2012,34,6825,842,1889,0.446,597,1216,0.491,245,673,0.364,524,694,0.755,400,774,1174,424,193,95,429,578,2453,72.1
alcorn-state,2012,32,6250,689,1669,0.413,561,1248,0.45,128,421,0.304,420,606,0.693,290,669,959,290,199,104,477,606,1926,60.2
american,2012,32,6425,713,1678,0.425,486,1102,0.441,227,576,0.394,406,567,0.716,281,763,1044,404,146,92,355,544,2059,64.3
appalachian-state,2012,31,6225,746,1693,0.441,543,1102,0.493,203,591,0.343,426,656,0.649,333,760,1093,379,187,125,444,609,2121,68.4
arizona-state,2012,31,6200,654,1439,0.454,473,942,0.502,181,497,0.364,402,594,0.677,262,713,975,377,173,123,505,548,1891,61
arizona,2012,35,7050,795,1812,0.439,537,1129,0.476,258,683,0.378,568,806,0.705,349,888,1237,473,195,122,436,588,2416,69
arkansas,2012,32,6400,808,1860,0.434,603,1280,0.471,205,580,0.353,478,692,0.691,363,719,1082,433,265,159,415,618,2299,71.8
arkansas-state,2012,34,6850,765,1771,0.432,589,1295,0.455,176,476,0.37,492,737,0.668,392,762,1154,329,210,78,460,533,2198,64.6
arkansas-little-rock,2012,31,6300,672,1655,0.406,511,1163,0.439,161,492,0.327,469,672,0.698,302,730,1032,324,198,94,387,609,1974,63.7
arkansas-pine-bluff,2012,33,6625,705,1707,0.413,560,1223,0.458,145,484,0.3,458,719,0.637,364,741,1105,367,230,132,491,601,2013,61
army,2012,30,6075,678,1608,0.422,440,937,0.47,238,671,0.355,433,596,0.727,247,710,957,403,185,54,467,581,2027,67.6
auburn,2012,31,6275,696,1669,0.417,540,1152,0.469,156,517,0.302,394,608,0.648,338,725,1063,386,199,149,419,573,1942,62.6
austin-peay,2012,32,6450,792,1781,0.445,653,1348,0.484,139,433,0.321,493,735,0.671,388,689,1077,388,230,115,466,574,2216,69.3
ball-state,2012,30,6000,647,1536,0.421,456,955,0.477,191,581,0.329,416,604,0.689,336,679,1015,400,182,79,388,501,1901,63.4
baylor,2012,38,7626,1004,2148,0.467,745,1472,0.506,259,676,0.383,572,759,0.754,470,915,1385,570,286,178,522,674,2839,74.7
belmont,2012,35,7049,975,2026,0.481,666,1209,0.551,309,817,0.378,572,779,0.734,399,853,1252,606,255,78,430,631,2831,80.9
bethune-cookman,2012,35,7025,818,1890,0.433,640,1368,0.468,178,522,0.341,462,702,0.658,413,670,1083,416,241,95,471,663,2276,65
binghamton,2012,31,6225,627,1579,0.397,495,1142,0.433,132,437,0.302,376,538,0.699,278,674,952,346,187,67,462,554,1762,56.8
boise-state,2012,30,6025,708,1653,0.428,481,989,0.486,227,664,0.342,407,589,0.691,328,679,1007,346,183,56,366,544,2050,68.3
boston-college,2012,31,6275,629,1543,0.408,404,879,0.46,225,664,0.339,350,520,0.673,222,702,924,354,153,89,454,491,1833,59.1
boston-university,2012,32,6425,725,1717,0.422,523,1083,0.483,202,634,0.319,393,583,0.674,351,756,1107,371,187,98,434,537,2045,63.9
bowling-green-state,2012,32,6424,823,1795,0.458,667,1334,0.5,156,461,0.338,323,474,0.681,363,707,1070,438,247,103,425,538,2125,66.4
bradley,2012,32,6401,689,1720,0.401,538,1217,0.442,151,503,0.3,426,625,0.682,302,752,1054,343,204,99,438,550,1955,61.1
brigham-young,2012,35,7000,977,2099,0.465,744,1420,0.524,233,679,0.343,540,771,0.7,381,966,1347,599,296,154,473,637,2727,77.9
brown,2012,31,6200,685,1695,0.404,451,1048,0.43,234,647,0.362,303,483,0.627,280,721,1001,413,162,79,382,497,1907,61.5
bryant,2012,30,6026,656,1626,0.403,447,936,0.478,209,690,0.303,331,480,0.69,293,649,942,376,133,64,441,552,1852,61.7
bucknell,2012,35,7000,836,1813,0.461,630,1287,0.49,206,526,0.392,532,687,0.774,314,923,1237,478,152,112,416,595,2410,68.9
buffalo,2012,31,6226,806,1734,0.465,594,1133,0.524,212,601,0.353,438,665,0.659,374,871,1245,511,174,157,464,549,2262,73
butler,2012,37,7476,823,2014,0.409,640,1363,0.47,183,651,0.281,523,806,0.649,468,855,1323,454,239,123,485,715,2352,63.6
cal-poly,2012,33,6600,772,1800,0.429,546,1158,0.472,226,642,0.352,366,524,0.698,406,732,1138,417,188,51,351,594,2136,64.7
cal-state-bakersfield,2012,31,6225,761,1676,0.454,563,1134,0.496,198,542,0.365,401,587,0.683,352,619,971,439,248,107,457,614,2121,68.4
cal-state-fullerton,2012,31,6200,833,1763,0.472,567,1105,0.513,266,658,0.404,485,699,0.694,385,780,1165,464,174,84,475,603,2417,78
cal-state-northridge,2012,28,5625,641,1671,0.384,471,1117,0.422,170,554,0.307,456,604,0.755,397,584,981,375,175,67,384,627,1908,68.1
california,2012,34,6800,893,1878,0.476,737,1448,0.509,156,430,0.363,477,641,0.744,341,841,1182,540,159,106,411,489,2419,71.1
california-davis,2012,31,6200,661,1614,0.41,421,964,0.437,240,650,0.369,362,529,0.684,278,683,961,371,151,70,479,574,1924,62.1
california-irvine,2012,32,6450,776,1861,0.417,526,1161,0.453,250,700,0.357,377,592,0.637,375,813,1188,493,156,131,489,598,2179,68.1
california-riverside,2012,31,6325,684,1669,0.41,554,1247,0.444,130,422,0.308,343,498,0.689,308,734,1042,308,148,123,411,536,1841,59.4
california-santa-barbara,2012,31,6301,809,1757,0.46,582,1164,0.5,227,593,0.383,417,601,0.694,382,786,1168,464,172,155,367,539,2262,73
campbell,2012,32,6426,846,1748,0.484,677,1296,0.522,169,452,0.374,509,761,0.669,329,800,1129,496,196,167,454,648,2370,74.1
canisius,2012,30,6050,704,1731,0.407,513,1151,0.446,191,580,0.329,366,503,0.728,371,672,1043,327,192,76,442,539,1965,65.5
central-arkansas,2012,29,5900,786,1884,0.417,636,1394,0.456,150,490,0.306,336,605,0.555,425,666,1091,426,235,92,445,588,2058,71
central-connecticut-state,2012,29,5875,717,1689,0.425,537,1165,0.461,180,524,0.344,415,547,0.759,345,630,975,393,235,103,424,541,2029,70
central-florida,2012,33,6600,768,1777,0.432,590,1185,0.498,178,592,0.301,452,722,0.626,423,774,1197,375,208,142,417,552,2166,65.6
central-michigan,2012,32,6450,700,1772,0.395,497,1164,0.427,203,608,0.334,377,594,0.635,378,685,1063,329,214,105,393,631,1980,61.9
charleston-southern,2012,31,6225,835,1866,0.447,576,1185,0.486,259,681,0.38,454,658,0.69,393,710,1103,396,251,82,416,563,2383,76.9
charlotte,2012,30,6050,693,1683,0.412,501,1093,0.458,192,590,0.325,432,656,0.659,334,740,1074,392,243,85,421,548,2010,67
chattanooga,2012,32,6475,765,1849,0.414,525,1126,0.466,240,723,0.332,490,714,0.686,377,877,1254,456,202,36,443,555,2260,70.6
chicago-state,2012,30,6022,688,1732,0.397,533,1206,0.442,155,526,0.295,353,541,0.652,345,717,1062,320,214,99,507,626,1884,62.8
cincinnati,2012,37,7501,924,2194,0.421,664,1431,0.464,260,763,0.341,414,643,0.644,489,844,1333,479,298,170,402,570,2522,68.2
citadel,2012,30,6100,704,1610,0.437,542,1124,0.482,162,486,0.333,355,537,0.661,297,678,975,400,180,50,441,497,1925,64.2
clemson,2012,31,6250,736,1701,0.433,565,1169,0.483,171,532,0.321,358,534,0.67,345,673,1018,392,231,117,375,499,2001,64.5
